top - 15:59:45 up 5 days, 22:49,  1 user,  load average: 2.51, 2.21, 2.02
Tasks: 409 total,   1 running, 408 sleeping,   0 stopped,   0 zombie
%Cpu(s): 20.6 us, 12.7 sy,  0.0 ni, 66.7 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :  15638.5 total,    285.3 free,   6413.6 used,   8939.6 buff/cache
MiB Swap:   2048.0 total,   2012.7 free,     35.3 used.   7664.2 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    945 root      20   0  246804   7800   6760 S   0.0   0.0   0:02.94 account+
    946 root      20   0    9448   2928   2668 S   0.0   0.0   0:00.23 cron
    950 root      20   0   26204   8364   7236 S   0.0   0.1   0:02.01 systemd+
    968 root      20   0  239636   8492   7292 S   0.0   0.1   0:00.16 gdm3
    986 root      20   0  118396  22280  14428 S   0.0   0.1   0:00.11 unatten+
   1014 rtkit     21   1  152936   2972   2732 S   0.0   0.0   0:01.02 rtkit-d+
   1163 root      20   0  252304   9924   8616 S   0.0   0.1   0:14.86 upowerd
   1432 colord    20   0  255868  15068   8880 S   0.0   0.1   0:00.46 colord
   1473 root      20   0  339864  11028   8452 S   0.0   0.1   0:00.48 gdm-ses+
   1502 mongodb   20   0 1524212  98528  39300 S   0.0   0.6  11:23.53 mongod
   1504 whoopsie  20   0  326872  15260  13308 S   0.0   0.1   0:00.72 whoopsie
   1506 kernoops  20   0   11284    444      0 S   0.0   0.0   0:08.75 kernelo+
   1509 kernoops  20   0   11284    444      0 S   0.0   0.0   0:08.69 kernelo+
   1557 root      20   0    2496    576    512 S   0.0   0.0   0:00.15 bpfilte+
   1871 aren.ch+  20   0   20228  10620   8108 S   0.0   0.1   0:06.68 systemd
   1873 aren.ch+  20   0  195100   2776      0 S   0.0   0.0   0:00.00 (sd-pam)
   1878 aren.ch+   9 -11 4105076  20280  14920 S   0.0   0.1  48:28.39 pulseau+
   1880 aren.ch+  39  19  659404  23012  14264 S   0.0   0.1   0:01.41 tracker+
   1882 aren.ch+  20   0   27924   6596   3800 S   0.0   0.0   0:27.86 dbus-da+
   1890 aren.ch+  20   0  240320   7504   6564 S   0.0   0.0   0:03.04 gnome-k+
   1903 aren.ch+  20   0  239832   7308   6264 S   0.0   0.0   0:00.49 gvfsd
   1908 aren.ch+  20   0  378368   6244   5588 S   0.0   0.0   0:00.00 gvfsd-f+
   1912 aren.ch+  20   0  322612   9112   7292 S   0.0   0.1   0:07.37 gvfs-ud+
   1922 aren.ch+  20   0  236516   7292   6488 S   0.0   0.0   0:00.13 gvfs-go+
   1926 aren.ch+  20   0  704464  68984  31656 S   0.0   0.4   1:00.57 goa-dae+
   1935 aren.ch+  20   0  314264   8448   7144 S   0.0   0.1   0:59.51 goa-ide+
   1939 aren.ch+  20   0  239920   7356   6680 S   0.0   0.0   0:00.00 gnome-k+
   1947 aren.ch+  20   0  316752   7472   6632 S   0.0   0.0   0:03.20 gvfs-af+
   1954 aren.ch+  20   0  235724   6256   5672 S   0.0   0.0   0:00.13 gvfs-mt+
   1955 root      10 -10       0      0      0 S   0.0   0.0   0:00.00 krfcommd
   1959 aren.ch+  20   0  238120   6432   5716 S   0.0   0.0   0:00.12 gvfs-gp+
   1965 aren.ch+  20   0  164040   6500   5872 S   0.0   0.0   0:00.01 gdm-x-s+
   1967 aren.ch+  20   0  597968 112052  46904 S   0.0   0.7  35:11.69 Xorg
   1985 aren.ch+  20   0  188236  13508  12020 S   0.0   0.1   0:00.05 gnome-s+
   2053 aren.ch+  20   0    6040    100      0 S   0.0   0.0   0:00.36 ssh-age+
   2071 aren.ch+  20   0  305632   6344   5708 S   0.0   0.0   0:00.02 at-spi-+
   2076 aren.ch+  20   0   25888   4244   3804 S   0.0   0.0   0:01.76 dbus-da+
   2084 aren.ch+  20   0   90084   4244   3828 S   0.0   0.0   0:00.00 gnome-s+
   2089 aren.ch+  20   0  492844  15256  12668 S   0.0   0.1   0:01.83 gnome-s+
   2129 aren.ch+  20   0  319560   8084   6608 S   0.0   0.1   0:04.82 ibus-da+
   2133 aren.ch+  20   0  236600   6832   6196 S   0.0   0.0   0:00.01 ibus-dc+
